	en	pl	de	fr	zh	pt	ru	es
HelpButtonTutorialDesc	To find out how to use certain functions, just click the Help button. Depending on what you’re currently doing, a relevant tutorial will be displayed.	Aby dowiedzieć się, jak korzystać z niektórych funkcji, wystarczy kliknąć przycisk Pomoc. W zależności od tego, co aktualnie robisz, zostanie wyświetlony odpowiedni samouczek.	Um zu erfahren, wie man manche Funktionen nutzt, reicht es die Taste Hilfe zu drücken. Je nachdem was du aktuell machst, wird ein Tutorial-Spiel eingeblendet.	Pour savoir plus sur l’utilisation de certaines fonctionnalités, cliquez simplement sur le bouton Aide. En fonction de ce que vous êtes en train de faire, un tutoriel approprié s’affichera.	如果您想了解如何使用某些功能， 只需单击“帮助”按钮。 游戏会根据您当前的操作， 显示相关教程。	Para saber como utilizar algumas funções, basta fazer clique no botão Ajuda. Dependendo do que estiver a fazer nesse momento, aparecerá a informação adequada.	Чтобы узнать, как пользоваться некоторыми функциями, достаточно нажать на кнопку Помощь. В зависимости от того, что Вы делаете в данный момент, отобразится соответствующее обучение.	Para saber cómo utilizar algunas de las funciones, basta hacer un clic en el botón de Ayuda. Dependiendo de lo que estés haciendo, aparecerá el manual adecuado.
HelpButtonTutorial	Help Button	Przycisk pomocy	Hilfe-Taste	Bouton Aide	帮助按钮	Botão de ajuda	Кнопка Помощь	Botón de ayuda
TutorialSectionsTitle	DAMAGE CONTROL	BRYGADY NAPRAWCZE	REPARATURBRIGADEN	BRIGADES DE RÉPARATION	维修	BRIGADAS DE REPARAÇÃO	РЕМОНТНЫЕ БРИГАДЫ	EQUIPOS DE REPARACIÓN
TutorialDeckTitle	FLIGHT DECK	POKŁAD	DECK	BORD	甲板	BORDO	ПАЛУБА	CUBIERTA
TutorialIslandTitle	THE ISLAND	WYSPA	INSEL	ÎLE	作战指挥部	ILHA	ОСТРОВ	ISLA
TutorialFreecamTitle	GETTING STARTED	POCZĄTEK	ANFANG	DÉBUT	入门	INÍCIO	НАЧАЛО	INICIO
TutorialCrewManagementTitle	CREW MANAGEMENT	ZARZĄDZANIE ZAŁOGĄ	MANNSCHAFTSMANAGEMENT	GESTIONS DE L’ÉQUIPAGE	人员管理	GESTÃO DE TRIPULAÇÃO	УПРАВЛЕНИЕ ЭКИПАЖЕМ	GESTIÓN DE LA TRIPULACIÓN
TutorialMapTitle	TACTICAL MAP	MAPA TAKTYCZNA	TAKTISCHE KARTE	CARTE TACTIQUE	战术地图	MAPA TÁCTICO	ТАКТИЧЕСКАЯ КАРТА	MAPA TÁCTICO
TutorialStrategyPanel	ATTACK STRATEGIES	PANEL STRATEGII	MENÜ STRATEGIE	PANNEAU DE STRATÉGIE	策略生成器	PAINEL DE ESTRATÉGIAS	ПАНЕЛЬ СТРАТЕГИИ	PANEL DE ESTRATEGIAS
TutorialEscortTitle	ESCORT	ESKORTA	GELEITSCHUTZ	ESCORTE	护航	ESCOLTA	ЭСКОРТ	ESCOLTA
TutorialMissionsTitle	AIRCRAFT MISSIONS	MISJE SAMOLOTÓW	FLUGZEUGMISSIONEN	MISSIONS DES AVIONS	任务	MISSÕES AERONÁUTICAS	МИССИИ САМОЛЕТОВ	MISIONES DE AVIONES
TutorialCarrierTitle	CARRIER MOVEMENT	STEROWANIE LOTNISKOWCEM	STEUERUNG FLUGZEUGTRÄGER	CONTRÔLE DU PORTE-AVIONS	航母	CONTROLO DE PORTA-AVIÕES	УПРАВЛЕНИЕ АВИАНОСЦЕМ	CONTROL DEL PORTAAVIONES
TutorialDefenseTitle	DEFENSE	OBRONA	VERTEIDIGUNG	DÉFENSE	防御	DEFESA	ЗАЩИТА	DEFENSA
TutorialSandboxTitle	SANDBOX	PIASKOWNICA	SANDKASTEN	BAS À SABLE	沙盒	SANDBOX	ПЕСОЧНИЦА	MODO DE APRENDIZAJE
TutorialDetectionTitle	STEALTH & DETECTION	UKRYWANIE I WYKRYWANIE	VERSTECKEN UND ENTDECKEN	CACHETTE ET DÉTECTION	隐形和探测	ESCONDER E DETETAR	СОКРЫТИЕ И ОБНАРУЖЕНИЕ	ESCONDER Y DETECTAR
