	en	pl	de	fr	zh	pt	ru	es
AttackRange	Attack Range	Zasięg Ataku	Angriffsbereich	Portée de l'attaque	攻击范围	Gama de ataque	Диапазон атаки	Rango de ataque
CANCEL	CANCEL	ANULUJ	CANCEL	ANNULER	取消	CANCELA	ОТМЕНИТЬ	CANCELAR
Confirm	CONFIRM	POTWIERDŹ	BESTÄTIGE	CONFIRMER	确认	CONFIRMAR	ПОДТВЕРДИТЬ	CONFIRMAR
HoursAgo	hour(s) ago	godzin temu	Stunden	il y a heures	几小时前	Há umas horas	часов назад	hace X horas
ID_Card_01	Anvil Attack	Kowadło	Amboss	Enclume	铁砧攻击	Bigorna	Наковальня	Yunque
ID_Card_01_desc_L0	ATK and DEF of maneuver #5 +125%.	ATK i OBR manewru #5 +125%.	ANG und VER des Manövers #5 +125%	ATK et DÉF manœuvre #5 + 125 %.	操作#5的攻击力和防御力 +125％。	ATQ e DEF da manobra #5 +125%.	АТК и ОБР маневра #5 +125%.	ATQ y DEF de la maniobra #5 +125 %.
ID_Card_01_desc_L1	ATK and DEF of maneuver #5 +150%.	ATK i OBR manewru #5 +150%.	ANG und VER des Manövers #5 +150%	ATK et DÉF manœuvre #5 + 150 %.	操作#5的攻击力和防御力 +150%。	ATQ e DEF da manobra #5 +150%.	АТК и ОБР маневра #5 +150%.	ATQ y DEF de la maniobra #5 +150 %.
ID_Card_01_desc_L2	ATK and DEF of maneuver #5 +175%.	ATK i OBR manewru #5 +175%.	ANG und VER des Manövers #5 +175%	ATK et DÉF manœuvre #5 + 175 %.	操作#5的攻击力和防御力 +175%。	ATQ e DEF da manobra #5 +175%.	АТК и ОБР маневра #5 +175%.	ATQ y DEF de la maniobra #5 +175%.
ID_Card_02	Defensive Bombing	Bomby obronne	Verteidigungsbomben	Bombes de défense	防御性轰炸	Bombas de defesa	Оборонительные бомбы	Bombas de defensa
ID_Card_02_desc_L0	DEF of the previous maneuver +125%.	OBR poprzedniego manewru +125%.	VER des vorherigen Manövers +125%	DÉF de la manœuvre précédente + 125 %	上一次操作的防御力 +125%。	DEF da última manobra +125%.	ОБР предыдущего маневра +125%.	DEF de la última maniobra +125 %.
