	en	pl	de	fr	zh	pt	ru	es
FlagPlottingRoomSwitch01	Add 2x Airstrike missions	Dodaj 2x Misję: Nalot	2x Mission hinzufügen: Luftangriff	Ajoutez 2 x Mission : Raid aérien	添加 2x 空袭任务	Adicionar 2x Missão: Ataque aéreo	Добавить 2x Миссии: Авиаудар	Añadir 2x Misión: Ataque aéreo
FlagPlottingRoomSwitch02	Add 2x Recon missions	Dodaj 2x Misję: Rekonesans	2x Mission hinzufügen: Aufklärung	Ajoutez 2 x Mission : Reconnaissance	添加 2x 侦察任务	Adicionar 2x Missão: Reconhecimento	Добавить 2x Миссии: Рекогносцировка	Añadir 2x Misión: Misión de reconocimiento
FlagPlottingRoomSwitch03	Add 2x Identify Targets missions	Dodaj 2x Misję: Identyfikacja Celów	2x Mission hinzufügen: Zielidentifikation	Ajoutez 2 x Mission : Identification des Cibles	添加 2x 识别目标任务	Adicionar 2x Missão: Identificação dos alvos	Добавить 2x Миссии: Идентификация Целей	Añadir 2x Misión: Identificación de objetivos
PilotDebriefingRoomSwitch01	Add 1x Airstrike mission	Dodaj 1x Misję: Nalot	1x Mission hinzufügen: Luftangriff	Ajoutez 1 x Mission : Raid aérien	添加 1x 空袭任务	Adicionar 1x Missão: Ataque aéreo	Добавить 1x Миссии: Авиаудар	Añadir 1x Misión: Ataque aéreo
PilotDebriefingRoomSwitch02	Add +1 Carrier Defense	Dodaj +1 Obrony	+1 Verteidigung hinzufügen	Ajoutez + 1 Défense	添加 +1 航母防御	Adicionar +1 Defesa	Добавить +1 Защиты	Añadir +1 Defensa
PilotDebriefingRoomSwitch03	Add 1x CAP mission	Dodaj 1x Misję: Bojowy Patrol Powietrzny	1x Mission hinzufügen: Kampfluftpatrouille	Ajoutez 1 x Mission : Patrouille Aérienne de Combat	添加 1x 空中巡逻任务	Adicionar 1x Missão: Patrulha Aérea de Combate	Добавить 1x Миссии: Боевой Воздушный Патруль	Añadir 1x Misión: Patrulla Aérea de Combate
MeteorologyRoomSwitch01	Enable Weather Information updates	Aktualizowanie informacji o pogodzie 	Aktualisierung der Wetterinformationen	Mise à jour des informations météo	更新天气信息	Atualização da informação sobre o tempo	Обновление информации о погоде 	Actualizando información sobre el tiempo 
MeteorologyRoomSwitch02	Add 1x Airstrike mission	Dodaj 1x Misję: Nalot	1x Mission hinzufügen: Luftangriff	Ajoutez 1 x Mission : Raid aérien	添加 1x 空袭任务	Adicionar 1x Missão: Ataque aéreo	Добавить 1x Миссии: Авиаудар	Añadir 1x Misión: Ataque aéreo
MeteorologyRoomSwitch03	Add 1x Recon mission	Dodaj 1x Misję: Rekonesans	1x Mission hinzufügen: Aufklärung	Ajoutez 1 x Mission : Reconnaissance	添加 1x 侦察任务	Adicionar 1x Missão: Reconhecimento	Добавить 1x Миссии: Рекогносцировка	Añadir 1x Misión: Misión de reconocimiento
RadioRoomSwitch01	DC buttons: 2x Deflooding	Przyciski BN: 2x Odpompowywanie	RB-Tasten: 2x Abpumpen	Boutons BR : 2 x Pompage	维修按钮：2x 排水	Botões ER: 2X bombagem	Кнопки РБ: 2x Откачивание	Botones ER: 2x Bombeo de agua
RadioRoomSwitch02	DC buttons: 2x Maintenance	Przyciski BN: 2x Konserwacja	RB-Tasten: 2x Wartung	Boutons BR : 2 x Maintenance	维修按钮：2x 维护	Botões ER: 2x conservação	Кнопки РБ: 2x Техническое обслуживание	Botones ER: 2x Mantenimiento
RadioRoomSwitch03	DC buttons: 1x Deflooding & 1x Maintenance	Przyciski BN: 1x Odpompowywanie i 1x Konserwacja	RB-Tasten: 1x Abpumpen und 1x Wartung	Boutons BR : 1 x Pompage et 1 x Entretien	维修按钮：1x 洪水 1x 维护	Botões ER: 1x bombagem e 1x conservação	Кнопки РБ: 1x Откачивание и 1x Техническое обслуживание	Botones ER: 1x Bombeo y 1x Mantenimiento
BridgeSwitch01	Prioritize repairing Fighters	Naprawa Myśliwców	Reparatur der Jagdflugzeuge	Réparation des Chasseurs	优先修理战斗机	Reparação de caças	Ремонт Истребителей	Reparación de Cazas
BridgeSwitch02	Prioritize repairing Dive Bombers	Naprawa Bombowców	Reparatur der Bomber	Réparation des Bombardiers	优先修理俯冲轰炸机	Reparação de bombardeiros	Ремонт Бомбардировщиков	Reparación de Bombarderos
BridgeSwitch03	Prioritize repairing Torpedo Bombers	Naprawa Samolotów Torpedowych	Reparatur der Torpedoflugzeuge	Réparation des Avions Torpilleurs	优先修理鱼雷轰炸机	Reparação de torpedeiros	Ремонт Торпедоносцев	Reparación de Aviones de Torpedos
NavigationRoomSwitch01	Add 1x CAP mission	Dodaj 1x Misję: Bojowy Patrol Powietrzny	1x Mission hinzufügen: Kampfluftpatrouille	Ajoutez 1x Mission : Patrouille Aérienne de Combat	添加 1x 空中巡逻队任务	Adicionar 1x Missão: Patrulha Aérea de Combate	Добавить 1x Миссии: Боевой Воздушный Патруль	Añadir 1x Misión: Patrulla Aérea de Combate
NavigationRoomSwitch02	Boost and gain direct control of DC teams	Wzmocnienie i uzyskanie bezpośredniej kontroli nad zespołami BN	Verstärkung und Erlangung der direkten Kontrolle über die RB-Teams	Renforcement et récupération du contrôle indirecte des équipes BR	提升并直接控制维修小队	Reforço e toma de controlo direto sobre as equipas ER	Укрепление и получение непосредственного контроля над командами РБ	Refuerzo y obtención de control directo sobre los equipos ER
NavigationRoomSwitch03	Add 1x DC team	Dodaj 1x Brygady Naprawcze	1x Reparaturbrigaden hinzufügen	Ajoutez 1x Brigades de Réparation	添加 1x 维修小队	Adicionar 1x brigadas de reparação	Добавить 1x Ремонтные Бригады	Añadir 1x Equipos de Reparación
CICSwitch01	Add 1x CAP mission	Dodaj 1x Misję: Bojowy Patrol Powietrzny	1x Mission hinzufügen: Kampfluftpatrouille	Ajoutez 1x Mission : Patrouille Aérienne de Combat	添加 1x 航母的空中巡逻队任务	Adicionar 1x Missão: Patrulha Aérea de Combate	Добавить 1x Миссии: Боевой Воздушный Патруль	Añadir 1x Misión: Patrulla Aérea de Combate
CICSwitch02	Add 1x Recon mission	Dodaj 1x Misję: Rekonesans	1x Mission hinzufügen: Aufklärung	Ajoutez 1x Mission : Reconnaissance	添加 1x 侦察任务	Adicionar 1x Missão: Reconhecimento	Добавить 1x Миссии: Рекогносцировка	Añadir 1x Misión: Misión de reconocimiento
CICSwitch03	Add 1x Identify Targets mission	Dodaj 1x Misję: Identyfikacja Celów	1x Mission hinzufügen: Zielidentifikation	Ajoutez 1x Mission : Identification des Cibles	添加 1x 识别目标任务	Adicionar 1x Missão: Identificação dos alvos	Добавить 1x Миссии: Идентификация Целей	Añadir 1x Misión: Identificación de objetivos
