	en	pl	de	fr	zh	pt	ru	es
<<Back	Main Menu	Menu Główne	Hauptmenü	Menu principal	主菜单	Menu principal	Главное Меню	Menú principal
Accessory01	Aviators: Gold	Aviator: Złote	Aviator: Gold	Aviator : dorées	飞行员：金色	Aviator: Ouro	Авиаторы: Золотые	Aviator: Dorado
Accessory02	Aviators: Black	Aviator: Czarne	Aviator: Schwarz	Aviator : noires	飞行员：黑色	Aviator: Preto	Авиаторы: Черные	Aviator: Negro
Accessory03	Aviators: Silver	Aviator: Srebrne	Aviator: Silber	Aviator : argentées	飞行员：银色	Aviator: Prata	Авиаторы: Серебряные	Aviator: Plata
Accessory04	Round Glasses: Silver	Okrągłe okulary: Srebrne	Runde Brille: Silber	Lunettes rondes : argentées	圆形眼镜：银色	Óculos redondos: Prata	Круглые очки: Серебряные	Gafas redondas: Plata
Accessory05	Round Glasses: Gold	Okrągłe okulary: Złote	Runde Brille: Gold	Lunettes rondes : dorées	圆形眼镜：金色	Óculos redondos Ouro	Круглые очки: Золотые	Gafas redondas Dorado
Accessory06	Eye Patch	Przepaska	Band	Cache-œil	眼罩	Fita	Повязка	Cinturón
Accessory1	Accessory (Eyes)	Akcesoria (Oczy)	Augenschmuck	Accessoires (yeux)	配饰（眼睛）	Adornos dos olhos	Аксессуары (Глаза)	Accesorios (ojos)
Accessory2	Accessory (Other)	Akcesoria (Inne)	Anderer Schmuck	Accessoires (autres)	配件（其他）	Outros adornos	Аксессуары (Другие)	Accesorios (otros)
Accessory2.01	Binoculars	Lornetka	Schutzbrille	Lunettes de protection	望远镜	Óculos de proteção	Бинокль	Prismáticos
Accessory2.02	Cigarette	Papieros	Zigarette	Cigarette	香烟	Cigarro	Сигарета	Cigarrillo
Accessory2.03	Pipe: Straight Stem	Prosta fajka	Pfeife gebogen	Pipe courbée	钢管：直杆	Cachimbo curvo	Прямая трубка	Pipa recta
Accessory2.04	Pipe: Curved Stem	Zakrzywiona fajka	Pfeife gerade	Pipe droite	钢管：曲杆	Cachimbo reto	Изогнутая трубка	Pipa curvada
Admiral_01	Admiral_01	Admirał 01	Admiral 01	Amiral 01	海军上将_01	Almirante 01	Адмирал 01	Almirante 01
Admiral_02	Admiral_02	Admirał 02	Admiral 02	Amiral 02	海军上将_02	Almirante 02	Адмирал 02	Almirante 02
Admiral_03	Admiral_03	Admirał 03	Admiral 03	Amiral 03	海军上将_03	Almirante 03	Адмирал 03	Almirante 03
Admiral_04	Admiral_04	Admirał 04	Admiral 04	Amiral 04	海军上将_04	Almirante 04	Адмирал 04	Almirante 04
Admiral_05	Admiral_05	Admirał 05	Admiral 05	Amiral 05	海军上将_05	Almirante 05	Адмирал 05	Almirante 05
AIR:	AIR:	LOTNICTWO:	LUFTFAHRT:	AVIATION :	空军：	AVIAÇÃO:	АВИАЦИЯ:	FLOTA AÉREA:
BaseOrder	Starting Order	Rozkaz Początkowy	Startbefehl	Ordre initial	起始顺序	Ordem principal	Первоначальный Приказ	Orden principal
Capitan_01	Capitan_01	Kapitan 01	Kapitän 01	Commandant 01	船长_01	Capitão 01	Капитан 01	Capitán 01
Capitan_02	Capitan_02	Kapitan 02	Kapitän 02	Commandant 02	船长_02	Capitão 02	Капитан 02	Capitán 02
Capitan_03	Capitan_03	Kapitan 03	Kapitän 03	Commandant 03	船长_03	Capitão 03	Капитан 03	Capitán 03
Capitan_04	Capitan_04	Kapitan 04	Kapitän 04	Commandant 04	船长_04	Capitão 04	Капитан 04	Capitán 04
Capitan_05	Capitan_05	Kapitan 05	Kapitän 05	Commandant 05	船长_05	Capitão 05	Капитан 05	Capitán 05
ChooseOrder	PICK YOUR STARTING ORDER	WYBIERZ ROZKAZ POCZĄTKOWY	WÄHLE DEN STARTBEFEHL	SÉLECTIONNER L’ORDRE INITIAL	选择您的初始指令	SELECIONE A ORDEM PRINCIPAL	ВЫБЕРИТЕ ПЕРВОНАЧАЛЬНЫЙ ПРИКАЗ	SELECCIONAR LA ORDEN INICIAL
ChooseOrderButton	Choose Order	Wybierz Rozkaz	Wähle Befehl	Sélectionnez l’ordre	选择指令	Selecione ordem	Выберите Приказ	Seleccionar orden
Continue>>	Continue	Dalej	Weiter	Suivant	继续	Continuar	Далее	Siguiente
CREATEYOURADMIRAL	CREATE YOUR ADMIRAL	STWÓRZ ADMIRAŁA	KREIERE DEN ADMIRAL	CRÉER L’AMIRAL	创建您的海军上将信息	CRIAR UM ALMIRANTE	СОЗДАЙТЕ АДМИРАЛА	CREAR ALMIRANTE
ENDURANCE:	ENDURANCE:	WYTRZYMAŁOŚĆ:	WIDERSTANDSKRAFT:	RÉSISTANCE :	耐力：	RESISTÊNCIA	ПРОЧНОСТЬ:	RESISTENCIA:
Face	Face	Twarz	Gesicht	Visage	脸	Cara	Лицо	Cara
Face01	Face #1	Twarz 01	Gesicht 01	Visage 01	脸 #1	Cara 01	Лицо 01	Cara 01
Face02	Face #2	Twarz 02	Gesicht 02	Visage 02	脸 #2	Cara 02	Лицо 02	Cara 02
Face03	Face #3	Twarz 03	Gesicht 03	Visage 03	脸 #3	Cara 03	Лицо 03	Cara 03
