	en	pl	de	fr	zh	pt	ru	es
AirAttackMinor	None of your planes were damaged.	Żaden z twoich samolotów nie został uszkodzony.	Keines deiner Flugzeuge wurde beschädigt.	Aucun de vos avion n’a été endommagé.	你的飞机没有损坏。	Nenhum dos seus aviões foi danificado.	Ни один из Ваших самолетов не был поврежден.	Ninguno de sus aviones no ha sido dañado.
AirAttackMedium	Some of your squadrons were damaged or destroyed.	Niektóre z Twoich eskadr zostały uszkodzenia lub zniszczone.	Einige Ihrer Staffeln wurden beschädigt oder zerstört.	Certains de vos escadrons ont été endommagés ou détruits.	你的一些中队被损坏或摧毁。	Alguns dos seus esquadrões foram danificados ou destruídos.	Некоторые из Ваших эскадрилий получили повреждения или были уничтожены.	Algunas de sus escuadras han sido dañadas o destruidas.
AirAttackMassive	All of the squadrons you dispatched were heavily damaged or destroyed.	Wszystkie wysłane eskadry poniosły ciężkie uszkodzenia lub zostały zniszczone.	Alle gesendeten Staffel haben schwere Beschädigungen erlitten oder wurden zerstört.	Toutes les escadres envoyées ont subi de graves dégâts ou ont été détruites..	你派出的所有飞行中队都被严重损坏或摧毁。	Todas as esquadras sofreram danificações graves ou foram destruídas.	Все отправленные эскадрильи получили серьезные повреждения или были уничтожены.	Todas las escuadras enviadas han sufrido daños graves o han sido destruidas.
ReconFoundTarget	Your scouts have detected an enemy.	Twoje eskadry wykryły wroga.	Deine Staffeln haben den Feind entdeckt.	Vos escadres ont repéré l’ennemi.	你的飞行中队发现了一个敌人。	As suas esquadras detetaram um inimigo.	Ваши эскадрильи обнаружили врага.	Sus escuadras han detectado al enemigo.
ReconFailed	No enemies were detected.	Żaden wróg nie został wykryty.	Kein Feind wurde entdeckt.	Aucun ennemi n’a été repéré.	没有发现敌人。	Nenhum inimigo foi detetado.	Ни один из врагов не был обнаружен.	No se ha detectado ningún enemigo.
IdentifyTargetFoundEnemy	Your airmen successfully identified the enemy targets.	Twoje samoloty zidentyfikowały cele wroga.	Deine Flugzeuge haben die feindlichen Ziele identifiziert.	Vos avions ont identifié les cibles ennemies.	你的飞行中队成功地识别了目标。	Os seus aviões identificaram os alvos do inimigo.	Ваши самолеты идентифицировали цели врага.	Sus aviones han identificado los objetivos enemigos.
IdentifyTargetFoundNothing	Your airmen did not find anything in the searched area.	Twoje samoloty nie znalazły niczego w obszarze zwiadu.	Deine Flugzeuge haben auf dem Gebiet der Aufklärungsmission nichts gefunden.	Vos avions n’ont rien trouvé dans la zone de reconnaissance.	你的飞行中队在目标区域没有发现任何敌军。	Os seus aviões não detetaram nada no âmbito de reconhecimento.	Ваши самолеты ничего не обнаружили в районе разведки.	Sus aviones no han encontrado nada en la zona de reconocimiento.
CounterScouts	The enemy scouts have been destroyed.	Zwiadowcy wroga zostali pokonani.	Die feindlichen Aufklärer wurden geschlagen.	Les éclaireurs de l’ennemi ont été vaincus.	敌方侦察兵已被摧毁。	Os rangers do inimigo foram defendidos.	Разведчики врага понесли поражение.	Los exploradores del enemigo han sido vencidos.
CounterSubmarine	The enemy submarine has been destroyed.	Wroga łódź podwodna została zniszczona.	Das feindliche U-Boot wurde zerstört.	Le sous-marin ennemi a été détruit.	敌方潜艇已被摧毁。	Um submarino inimigo foi destruído.	Подводная лодка врага была уничтожена.	Un submarino enemigo ha sido destruido.
IdentifyTargetFoundWhale	Pod of whales	Grupa wielorybów	Eine Gruppe Wale	Groupe de baleines	成群的鲸鱼	Grupo de baleias	Группа китов	Grupo de ballenas
IdentifyTargetFoundNeutralOutpost	Neutral outpost	Neutralna placówka	Neutraler Posten	Établissement neutre	中立的前哨	Base neutral	Нейтральный форпост	Lugar neutral
IdentifyTargetFoundNeutralShip	Neutral ship	Statek cywilny	Ziviles Schiff	Navire civile	中立的船只	Navio civil	Гражданский корабль	Barco civil
AirAttackFoundNoEnemy	Your airmen did not encounter any enemies.	Twoje eskadry nie napotkały wroga.	Deine Staffeln haben den Feind nicht getroffen.	Vos escadres n’ont pas rencontré l’ennemi.	你的飞行中队没有遇到敌人。	As suas esquadras não encontraram inimigo.	Ваши эскадрильи не встретили врага.	Sus escuadras no han encontrado enemigos.
ScoutingReport	Your scouts finished patrolling the area around the strike group.	Twoi zwiadowcy zakończyli patrolowanie terenu wokół grupy uderzeniowej.	Deine Aufklärer haben aufgehört das Gebiets um die Sturmgruppe zu patrouillieren.	Vos éclaireurs ont terminé la patrouille du terrain autour du groupe aéronaval.	我们的侦察兵完成了对攻击群周围区域的巡逻。	As seus rangers terminaram de patrulhar o terreno ao redor do grupo de ataque.	Ваши разведчики завершили патрулирование территории вокруг ударной группы.	Sus exploradores han terminar de rastrear el terreno alrededor del grupo de ataque.
CAPMissionReportHeader	Combat Air Patrol (CAP)	Bojowy Patrol Powietrzny (BPP)	Kampfluftpatrouille (KLP)	Patrouille Aérienne de Combat (PAC)	空中巡逻攻击队（CAP）	Patrulha aérea de combate (PAC)	Боевой Воздушный Патруль (БВП)	Patrulla Aérea de Combate (PAC)
LightCarrier	Light Carrier	Lekki Lotniskowiec	Leichter Flugzeugträger	Porte-avions léger	轻型航母	Porta-aviões ligeiro	Легкий Авианосец 	Portaaviones ligero
EscortCarrier	Escort Carrier	Lotniskowiec Eskortowy	Geleitschutz-Flugzeugträger	Porte-avions d’escorte	护卫航母	Porta-aviões de escolta	Эскортный Авианосец	Portaaviones de escolta
SurveyShip	Survey Ship	Statek Badawczy	Forschungsschiff	Navire de recherches	测量船	Navio de investigação	Исследовательское Судно	Buque de investigación
RescueShip	Rescue Ship	Statek Ratunkowy	Rettungsschiff	Navire de secours	救援船	Navio de resgate	Спасательное Судно	Buque de rescate
RepairShip	Repair Ship	Statek Naprawczy	Reparaturschiff	Navire de réparation	修理船	Navio de reparação	Ремонтное Судно	Buque de reparación
Destroyer	Destroyer	Niszczyciel	Zerstörer	Destroyer	驱逐舰	Destróier	Эскадренный миноносец	Destructor
