	en	pl	de	fr	zh	pt	ru	es
FlagPlottingRoom	Flag Plot	Centrum Koordynacji Ataków	Zentrum der Angriffskoordination	Centre de Coordination des Attaques	旗标室	Centro de Coordenação de Ataques	Центр Координации Наступления	Centro de Coordinación de Ataques
PilotDebriefingRoom	Pilot Debriefing Room	Sala Odpraw	Besprechungsraum	Salle de briefing	飞行员汇报室	Sala de reuniões	Комната Брифинга	Sala de reuniones
MeteorologyRoom	Meteorology Room	Pokój Meteorologiczny	Meteorologieraum	Salle météo	气象室	Sala de meteorologia	Метеорологическое Помещение	Sala de Meteorología
RadioRoom	Radio Room	Pokój Radiowy	Funkraum	Salle Radio	广播室	Sala de rádio	Радиорубка	Sala de Radio
Bridge	Bridge	Mostek	Brücke	Passerelle	桥	Ponte	Мостик	Puente
NavigationRoom	Navigation Room	Pokój Nawigacyjny	Navigationsraum	Salle de Navigation	导航室	Sala de navegação	Штурманская рубка	Sala de Navegación
CIC	Combat Information Center	Centrum Informacji Bojowej	Kampfinformationszentrum	Centre d’Information de Combat	作战信息中心	Centro de Informação de Combate	Центр Боевой Информации	Centro de Información de Combate
CICEffect	Defense	Obrona	Verteidigung	Défense	防御	Defesa	Оборона	Defensa
CodingRoom	Coding Room	Pokój Szyfrowania	Chiffrierraum	Salle de Chiffrement	编码室	Sala de criptografia	Шифровальная Рубка	Sala de Encriptación
OperationsRoom	Control Room	Pokój Kontrolny	Kontrollraum	Salle de Surveillance	控制室	Sala de controlo	Кабина управления	Sala de Control
SwitchesBlocked	A mission provided by this switch is still ongoing!	Misja z przełącznika właśnie trwa!	Die Mission aus dem Schalter dauert an!	Mission du switch est en cours !	您已选择的行动正在进行中！	A missão do interruptor está em curso!	Миссия с переключателя продолжается!	¡La misión del seleccionador está en curso!
ExperimentalTactics	Experimental Tactics	Taktyki Eksperymentalne	Experimentale Taktiken	Tactiques Expérimentales	测试策略	Tácitas experimentais	Экспериментальная Тактика	Tácticas experimentales
ActiveDefenceRoom	Active Defense Room	Pokój Aktywnej Obrony	Raum der Aktiven Verteidigung	Salle de Défense Active	主动防御室	Sala de defesa ativa	Помещение Активной Защиты	Sala de Defensa Activa
